sc_count,vsc_count,red_flag_count,yellow_flag_count,has_race_control,season,session_key,meeting_name,circuit_short_name,race_key
0,0,1,3,1,2024,9472,Bahrain Grand Prix,Sakhir,sakhir
1,0,1,3,1,2024,9480,Saudi Arabian Grand Prix,Jeddah,jeddah
0,2,1,13,1,2024,9488,Australian Grand Prix,Melbourne,melbourne
1,0,2,5,1,2024,9496,Japanese Grand Prix,Suzuka,suzuka
3,1,1,3,1,2024,9507,Miami Grand Prix,Miami,miami
0,0,1,3,1,2024,9515,Emilia Romagna Grand Prix,Imola,imola
1,0,2,14,1,2024,9523,Monaco Grand Prix,Monte Carlo,monte carlo
3,0,1,17,1,2024,9531,Canadian Grand Prix,Montreal,montreal
0,0,1,0,1,2024,9539,Spanish Grand Prix,Catalunya,catalunya
0,1,1,1,1,2024,9550,Austrian Grand Prix,Spielberg,spielberg
0,0,1,0,1,2024,9558,British Grand Prix,Silverstone,silverstone
0,0,1,1,1,2024,9566,Hungarian Grand Prix,Hungaroring,hungaroring
0,0,1,1,1,2024,9574,Belgian Grand Prix,Spa-Francorchamps,spa francorchamps
0,0,1,3,1,2024,9582,Dutch Grand Prix,Zandvoort,zandvoort
0,0,1,0,1,2024,9590,Italian Grand Prix,Monza,monza
0,9,1,20,1,2024,9598,Azerbaijan Grand Prix,Baku,baku
0,0,1,0,1,2024,9606,Singapore Grand Prix,Singapore,singapore
1,0,1,7,1,2024,9617,United States Grand Prix,Austin,austin
1,0,1,22,1,2024,9625,Mexico City Grand Prix,Mexico City,mexico city
2,1,2,19,1,2024,9636,São Paulo Grand Prix,Interlagos,interlagos
0,0,1,1,1,2024,9644,Las Vegas Grand Prix,Las Vegas,las vegas
9,1,1,11,1,2024,9655,Qatar Grand Prix,Lusail,lusail
0,1,1,12,1,2024,9662,Abu Dhabi Grand Prix,Yas Marina Circuit,yas marina circuit
7,1,1,6,1,2024,9673,Chinese Grand Prix,Shanghai,shanghai
