position,driver_number,lap_duration,meeting_key,session_key
1,1,72.272,1211,9098
2,55,72.734,1211,9098
3,4,72.792,1211,9098
4,44,72.818,1211,9098
5,18,72.994,1211,9098
6,31,73.083,1211,9098
7,27,73.229,1211,9098
8,14,73.507,1211,9098
9,81,73.682,1211,9098
10,10,72.816,1211,9098
11,11,73.334,1211,9098
12,63,73.447,1211,9098
13,24,73.521,1211,9098
14,21,74.083,1211,9098
15,22,74.477,1211,9098
16,77,73.977,1211,9098
17,20,74.042,1211,9098
18,23,74.063,1211,9098
19,16,74.079,1211,9098
20,2,74.699,1211,9098
